"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] PB_20x_pos_080921_037,[Mass] Plasma_01_20x_pos_080921_20,[Mass] Plasma_02_20x_pos_080921_22,[Mass] Plasma_03_20x_pos_080921_031,[Mass] Plasma_04_20x_pos_080921_025,[Mass] Plasma_05_20x_pos_080921_032,[Mass] Plasma_06_20x_pos_080921_028,[Mass] Plasma_07_20x_pos_080921_19,[Mass] Plasma_08_20x_pos_080921_033,[Mass] Plasma_09_20x_pos_080921_026,[Mass] Plasma_10_20x_pos_080921_21,[Mass] Plasma_11_20x_pos_080921_027,[Mass] Plasma_12_20x_pos_080921_034,[RT] PB_20x_pos_080921_037,[RT] Plasma_01_20x_pos_080921_20,[RT] Plasma_02_20x_pos_080921_22,[RT] Plasma_03_20x_pos_080921_031,[RT] Plasma_04_20x_pos_080921_025,[RT] Plasma_05_20x_pos_080921_032,[RT] Plasma_06_20x_pos_080921_028,[RT] Plasma_07_20x_pos_080921_19,[RT] Plasma_08_20x_pos_080921_033,[RT] Plasma_09_20x_pos_080921_026,[RT] Plasma_10_20x_pos_080921_21,[RT] Plasma_11_20x_pos_080921_027,[RT] Plasma_12_20x_pos_080921_034,[Height] PB_20x_pos_080921_037,[Height] Plasma_01_20x_pos_080921_20,[Height] Plasma_02_20x_pos_080921_22,[Height] Plasma_03_20x_pos_080921_031,[Height] Plasma_04_20x_pos_080921_025,[Height] Plasma_05_20x_pos_080921_032,[Height] Plasma_06_20x_pos_080921_028,[Height] Plasma_07_20x_pos_080921_19,[Height] Plasma_08_20x_pos_080921_033,[Height] Plasma_09_20x_pos_080921_026,[Height] Plasma_10_20x_pos_080921_21,[Height] Plasma_11_20x_pos_080921_027,[Height] Plasma_12_20x_pos_080921_034,[Score (MFE)] PB_20x_pos_080921_037,[Score (MFE)] Plasma_01_20x_pos_080921_20,[Score (MFE)] Plasma_02_20x_pos_080921_22,[Score (MFE)] Plasma_03_20x_pos_080921_031,[Score (MFE)] Plasma_04_20x_pos_080921_025,[Score (MFE)] Plasma_05_20x_pos_080921_032,[Score (MFE)] Plasma_06_20x_pos_080921_028,[Score (MFE)] Plasma_07_20x_pos_080921_19,[Score (MFE)] Plasma_08_20x_pos_080921_033,[Score (MFE)] Plasma_09_20x_pos_080921_026,[Score (MFE)] Plasma_10_20x_pos_080921_21,[Score (MFE)] Plasma_11_20x_pos_080921_027,[Score (MFE)] Plasma_12_20x_pos_080921_034,[Score (Tgt)] PB_20x_pos_080921_037,[Score (Tgt)] Plasma_01_20x_pos_080921_20,[Score (Tgt)] Plasma_02_20x_pos_080921_22,[Score (Tgt)] Plasma_03_20x_pos_080921_031,[Score (Tgt)] Plasma_04_20x_pos_080921_025,[Score (Tgt)] Plasma_05_20x_pos_080921_032,[Score (Tgt)] Plasma_06_20x_pos_080921_028,[Score (Tgt)] Plasma_07_20x_pos_080921_19,[Score (Tgt)] Plasma_08_20x_pos_080921_033,[Score (Tgt)] Plasma_09_20x_pos_080921_026,[Score (Tgt)] Plasma_10_20x_pos_080921_21,[Score (Tgt)] Plasma_11_20x_pos_080921_027,[Score (Tgt)] Plasma_12_20x_pos_080921_034,[Ions] PB_20x_pos_080921_037,[Ions] Plasma_01_20x_pos_080921_20,[Ions] Plasma_02_20x_pos_080921_22,[Ions] Plasma_03_20x_pos_080921_031,[Ions] Plasma_04_20x_pos_080921_025,[Ions] Plasma_05_20x_pos_080921_032,[Ions] Plasma_06_20x_pos_080921_028,[Ions] Plasma_07_20x_pos_080921_19,[Ions] Plasma_08_20x_pos_080921_033,[Ions] Plasma_09_20x_pos_080921_026,[Ions] Plasma_10_20x_pos_080921_21,[Ions] Plasma_11_20x_pos_080921_027,[Ions] Plasma_12_20x_pos_080921_034,
PC 16:0_18:2,C42 H80 N O8 P,757.5630,0.51,0,7.64,0.039,17118429,13,0,99.8,9.4,4,15,757.5629,757.5638,757.5627,757.5625,757.5633,757.5629,757.5632,757.5632,757.5634,757.5627,757.5631,757.5624,757.5631,7.673,7.645,7.638,7.649,7.635,7.641,7.644,7.641,7.645,7.638,7.639,7.645,7.643,13050,16282240,19575400,18242510,19853569,18854656,17151575,19577782,16400291,19265217,19524400,19379942,18418952,,,,,,,,,,,,,,66.32,97.70,99.39,99.77,98.58,99.40,98.95,98.82,98.44,99.44,98.99,99.72,98.95,4,12,15,12,15,14,14,14,13,12,13,13,12,
PC 18:0_18:2,C44 H84 N O8 P,785.5942,0.63,0,8.58,0.009,12391793,13,0,99.9,5.9,6,14,785.5950,785.5940,785.5947,785.5934,785.5937,785.5944,785.5938,785.5946,785.5945,785.5938,785.5943,785.5943,785.5935,8.575,8.583,8.581,8.582,8.581,8.583,8.583,8.583,8.583,8.581,8.582,8.582,8.582,6207,9527188,16496617,11881676,15799514,14148282,10690288,14478167,10348740,14713527,15521712,13637705,13843689,,,,,,,,,,,,,,78.67,99.67,98.57,99.89,99.84,99.15,99.77,98.73,99.00,99.70,99.23,99.32,99.88,6,11,14,11,12,11,13,13,11,12,14,13,13,
PC 16:0_22:6,C46 H80 N O8 P,805.5629,0.64,0,7.17,0.025,10603869,13,0,99.8,1.3,6,20,805.5624,805.5626,805.5625,805.5628,805.5638,805.5620,805.5629,805.5631,805.5630,805.5638,805.5626,805.5629,805.5626,7.144,7.168,7.168,7.170,7.168,7.167,7.169,7.167,7.169,7.169,7.169,7.168,7.169,11776,10111961,12056650,11602052,15289690,10897582,10233232,12255243,8710630,11201109,13955799,11667985,9856594,,,,,,,,,,,,,,95.30,99.85,99.72,99.44,97.62,99.81,99.30,99.48,99.34,98.22,99.69,99.34,99.70,6,13,16,20,13,16,17,18,16,15,18,15,16,
PC 16:0_20:4,C44 H80 N O8 P,781.5627,1.14,0,7.46,0.060,8382669,13,0,99.8,10.2,10,18,781.5599,781.5628,781.5629,781.5631,781.5622,781.5629,781.5632,781.5630,781.5632,781.5633,781.5630,781.5630,781.5628,7.401,7.460,7.459,7.460,7.459,7.457,7.460,7.460,7.461,7.460,7.460,7.456,7.459,6747,7993634,8567611,9139673,13335326,7930712,7854248,9862236,7646021,8796795,11193369,9526199,7122131,,,,,,,,,,,,,,63.78,99.62,99.49,99.27,99.82,99.50,99.03,99.32,98.99,98.94,99.34,99.23,99.66,10,13,14,16,14,17,18,15,15,13,15,15,14,
PC 16:0_18:1,C42 H82 N O8 P,759.5786,0.35,0,8.41,0.007,7590091,12,1,99.8,0.3,12,16,,759.5790,759.5781,759.5785,759.5788,759.5788,759.5785,759.5784,759.5784,759.5785,759.5789,759.5786,759.5788,,8.412,8.413,8.414,8.410,8.410,8.413,8.417,8.413,8.413,8.413,8.415,8.413,,5684970,8029336,6804230,10665589,6722811,5353426,9287308,4581537,8437216,9939264,9791107,5784303,,,,,,,,,,,,,,,98.89,99.81,99.74,99.34,99.23,99.66,99.72,99.66,99.57,99.30,99.48,99.48,,12,12,14,15,14,14,15,16,14,16,16,12,
LPC 16:0/0:0,C24 H50 N O7 P,495.3331,0.40,0,2.43,0.005,3825220,12,1,99.7,0.4,11,16,,495.3332,495.3331,495.3330,495.3329,495.3332,495.3336,495.3332,495.3331,495.3333,495.3330,495.3328,495.3331,,2.433,2.434,2.433,2.437,2.438,2.434,2.435,2.434,2.438,2.435,2.435,2.434,,2469378,4411091,3515308,6247068,4034547,3141441,4512162,2492255,3556972,4947204,4005493,2569725,,,,,,,,,,,,,,,99.43,99.50,99.48,99.72,99.45,98.39,99.09,99.54,99.00,99.49,99.71,99.61,,15,14,16,16,13,11,13,13,15,14,14,14,
PC 18:0_20:4,C46 H84 N O8 P,809.5942,0.31,0,8.39,0.029,5631673,13,0,99.7,3.7,6,18,809.5938,809.5944,809.5943,809.5940,809.5940,809.5944,809.5940,809.5943,809.5939,809.5941,809.5944,809.5947,809.5942,8.369,8.396,8.396,8.395,8.393,8.396,8.397,8.395,8.398,8.391,8.392,8.394,8.397,2742,4770871,6652137,5487527,7759362,5858316,5039538,6512081,5182788,6280061,7285747,6050463,6330116,,,,,,,,,,,,,,86.23,99.34,99.33,99.69,99.67,99.20,99.64,99.35,99.73,99.48,99.11,98.67,99.46,6,16,15,16,14,15,18,16,13,15,17,17,13,
PC 18:0_22:6,C48 H84 N O8 P,833.5939,1.08,0,8.10,0.064,3966202,13,0,99.9,6.1,4,19,833.5911,833.5939,833.5942,833.5943,833.5942,833.5940,833.5941,833.5945,833.5940,833.5944,833.5938,833.5944,833.5947,8.158,8.096,8.097,8.096,8.096,8.097,8.099,8.093,8.099,8.097,8.096,8.096,8.095,14331,2470683,5623515,3271890,5078020,4339579,2786439,4992033,2427835,5258317,5573367,4853913,4870714,,,,,,,,,,,,,,77.99,99.82,99.65,99.64,99.62,99.72,99.62,99.46,99.92,99.51,99.82,99.49,99.39,4,17,16,18,16,18,19,16,18,16,19,19,19,
TG 16:0_18:2_18:2,C55 H98 O6,854.7370,0.49,0,13.60,0.016,4337017,13,0,99.9,2.3,13,19,854.7359,854.7368,854.7374,854.7369,854.7376,854.7370,854.7371,854.7369,854.7367,854.7370,854.7374,854.7371,854.7372,13.591,13.606,13.605,13.606,13.607,13.605,13.605,13.605,13.604,13.603,13.605,13.604,13.602,4665,4490506,5937945,6980142,11400919,4193693,3821636,3432007,1304666,4114101,5711007,2141406,2848532,,,,,,,,,,,,,,91.44,99.89,99.36,99.76,99.10,99.79,99.70,99.89,99.80,99.72,99.41,99.65,99.52,13,15,17,17,16,17,15,18,16,19,16,17,19,
TG 16:0_18:1_18:2,C55 H100 O6,856.7526,0.17,0,14.07,0.004,4811577,12,1,99.9,0.1,17,21,,856.7525,856.7526,856.7526,856.7524,856.7526,856.7524,856.7526,856.7526,856.7526,856.7528,856.7526,856.7529,,14.078,14.075,14.077,14.076,14.074,14.075,14.076,14.074,14.074,14.074,14.074,14.077,,4645507,5739660,6939327,11482752,3509599,3154720,4078574,1564262,4423963,6511884,2538651,3150036,,,,,,,,,,,,,,,99.80,99.72,99.84,99.83,99.77,99.87,99.76,99.67,99.80,99.55,99.66,99.46,,18,19,19,17,20,19,21,19,18,21,20,21,
LPC 18:0/0:0,C26 H54 N O7 P,523.3643,0.98,0,3.64,0.067,2581705,13,0,99.8,12.6,2,17,523.3627,523.3642,523.3647,523.3645,523.3642,523.3646,523.3645,523.3644,523.3643,523.3644,523.3645,523.3643,523.3643,3.573,3.638,3.638,3.638,3.636,3.637,3.634,3.635,3.639,3.638,3.635,3.640,3.634,7622,1558868,3967817,2321008,4437685,3332731,2211557,3167406,1705669,2633380,3510337,2718136,1989960,,,,,,,,,,,,,,55.66,99.69,98.73,99.58,99.82,99.15,99.14,99.46,99.80,99.33,99.47,99.58,99.40,2,14,15,14,13,17,16,14,15,12,15,15,13,
TG 16:0_18:1_18:1,C55 H102 O6,858.7683,0.25,0,14.34,0.006,3092246,13,0,99.9,0.7,14,21,858.7683,858.7680,858.7685,858.7681,858.7681,858.7680,858.7683,858.7681,858.7681,858.7683,858.7687,858.7684,858.7685,14.341,14.346,14.345,14.346,14.344,14.343,14.345,14.344,14.341,14.347,14.342,14.347,14.345,91512,3288440,3635361,4639174,7209950,2189379,1850200,3289433,1455623,3162219,4873655,2214280,2299984,,,,,,,,,,,,,,97.33,99.83,99.63,99.87,99.87,99.83,99.55,99.87,99.75,99.75,99.51,99.50,99.40,14,17,21,20,19,19,17,18,17,19,20,17,18,
CE 18:2,C45 H76 O2,648.5851,0.89,0,13.93,0.069,3058984,13,0,99.8,7.1,5,16,648.5833,648.5848,648.5855,648.5852,648.5851,648.5856,648.5853,648.5855,648.5854,648.5853,648.5854,648.5853,648.5852,13.859,13.927,13.926,13.927,13.927,13.924,13.925,13.927,13.928,13.925,13.924,13.929,13.926,2393,2503503,3583538,2756318,3928066,3238231,2943715,3903841,2838884,3530602,3681812,3655664,3200232,,,,,,,,,,,,,,74.61,99.77,99.33,99.59,99.70,99.18,99.59,99.22,99.39,99.52,99.47,99.54,99.60,5,12,15,15,13,13,16,14,15,13,14,14,16,
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6067,0.22,0,7.91,0.005,2382578,12,1,100.0,0.2,10,14,,752.6067,752.6068,752.6067,752.6071,752.6068,752.6068,752.6067,752.6064,752.6066,752.6067,752.6068,752.6070,,7.907,7.905,7.906,7.903,7.903,7.906,7.906,7.907,7.906,7.905,7.908,7.906,,2476883,2627465,2420955,2402259,2471273,2112406,2643601,2364925,2110465,2386422,2500528,2073757,,,,,,,,,,,,,,,99.73,99.73,99.90,99.62,99.79,99.59,99.92,99.97,99.67,99.87,99.84,99.24,,13,14,14,13,12,11,13,12,12,13,14,10,
LPC 18:2/0:0,C26 H50 N O7 P,519.3327,2.77,0,1.89,0.015,1925231,13,0,99.7,12.2,4,15,519.3279,519.3329,519.3330,519.3332,519.3331,519.3334,519.3330,519.3328,519.3334,519.3329,519.3332,519.3331,519.3329,1.879,1.892,1.893,1.892,1.890,1.891,1.892,1.894,1.893,1.891,1.894,1.888,1.892,3214,1336366,1943669,2056306,4981377,2120113,1588808,2392661,958561,1702768,2399657,1981918,1562593,,,,,,,,,,,,,,57.16,99.47,99.56,99.26,99.22,98.69,99.54,99.73,98.87,99.66,99.23,99.27,99.51,4,12,13,14,13,14,12,15,12,14,13,12,13,
PC 18:1_18:2,C44 H82 N O8 P,783.5781,0.79,0,7.69,0.013,2010024,13,0,99.8,7.9,5,15,783.5761,783.5783,783.5784,783.5781,783.5785,783.5781,783.5783,783.5783,783.5783,783.5786,783.5782,783.5783,783.5783,7.696,7.684,7.688,7.689,7.691,7.685,7.683,7.691,7.684,7.688,7.689,7.690,7.688,3713,1550139,2342627,1733186,2678042,1728623,1624689,2718122,1691090,2719149,2558670,2435547,2346717,,,,,,,,,,,,,,71.94,99.66,99.47,99.70,99.33,99.80,99.63,99.41,99.67,99.30,99.65,99.53,99.62,5,15,15,14,14,13,13,14,13,13,13,13,12,
PC 18:2_18:2,C44 H80 N O8 P,781.5625,1.46,0,6.93,0.081,1794913,13,0,99.8,12.7,5,18,781.5587,781.5629,781.5627,781.5629,781.5629,781.5627,781.5625,781.5631,781.5626,781.5630,781.5627,781.5624,781.5629,6.849,6.930,6.929,6.930,6.926,6.927,6.929,6.927,6.925,6.929,6.928,6.926,6.929,5009,978307,2234891,1419971,2809259,1535968,1309777,2571379,1088025,2615075,2636789,2194786,1934639,,,,,,,,,,,,,,55.38,99.52,99.61,99.48,99.46,99.65,99.84,99.45,99.64,99.51,99.67,99.82,99.54,5,10,17,12,15,12,15,14,15,18,14,13,15,
CE 20:4,C47 H76 O2,672.5852,0.24,0,13.60,0.025,2240752,13,0,99.9,8.3,4,17,672.5853,672.5851,672.5853,672.5849,672.5851,672.5850,672.5851,672.5851,672.5851,672.5851,672.5854,672.5854,672.5854,13.574,13.598,13.598,13.598,13.597,13.594,13.598,13.599,13.598,13.597,13.600,13.594,13.598,3122,2048927,2155996,1823365,2275970,2132106,2285347,3024884,2832408,2328808,2793542,3036260,2389047,,,,,,,,,,,,,,70.44,99.81,99.22,99.71,99.54,99.64,99.72,99.85,99.66,99.55,99.50,99.63,99.32,4,15,17,14,16,15,16,17,15,15,17,16,16,
LPC 0:0/18:2,C26 H50 N O7 P,519.3326,2.77,0,1.72,0.100,1205381,13,0,99.8,14.8,5,14,519.3279,519.3329,519.3331,519.3328,519.3330,519.3327,519.3327,519.3336,519.3329,519.3331,519.3329,519.3330,519.3331,1.627,1.725,1.726,1.725,1.723,1.723,1.725,1.726,1.726,1.724,1.726,1.727,1.725,2746,658547,1572799,1004785,1445120,1106991,963359,1884285,947064,1554812,1814241,1624943,1090274,,,,,,,,,,,,,,48.62,99.44,99.28,99.62,99.44,99.84,99.48,98.15,99.60,99.41,99.70,99.47,99.26,5,11,12,11,11,11,14,14,13,10,12,10,10,
PC 16:0_20:3,C44 H82 N O8 P,783.5782,0.64,0,7.87,0.012,1484608,13,0,99.9,9.4,6,19,783.5766,783.5782,783.5785,783.5782,783.5783,783.5784,783.5782,783.5784,783.5780,783.5783,783.5782,783.5783,783.5785,7.857,7.868,7.865,7.866,7.863,7.864,7.867,7.864,7.868,7.865,7.866,7.869,7.867,2564,1618821,1362512,1746689,3047526,1356004,1316447,1655753,1256054,1362364,2215082,1514015,846080,,,,,,,,,,,,,,66.76,99.75,99.51,99.74,99.65,99.69,99.75,99.56,99.87,99.67,99.79,99.64,99.49,6,18,16,17,16,16,16,19,16,16,15,17,17,
TG 18:1_18:2_18:2,C57 H100 O6,880.7523,0.36,0,13.59,0.011,1630079,13,0,99.9,1.8,12,20,880.7530,880.7521,880.7525,880.7521,880.7523,880.7520,880.7521,880.7520,880.7521,880.7523,880.7526,880.7525,880.7526,13.597,13.592,13.589,13.590,13.587,13.589,13.587,13.591,13.587,13.586,13.588,13.590,13.589,10468,1401700,1942505,2081951,3089768,1283482,1345771,1804208,731667,2305537,2451632,1098812,1643531,,,,,,,,,,,,,,93.51,99.82,99.74,99.89,99.85,99.81,99.88,99.83,99.87,99.86,99.83,99.73,99.71,12,16,19,20,14,17,17,18,19,20,19,18,18,
PC 18:0_18:1,C44 H86 N O8 P,787.6096,0.25,0,9.32,0.047,1357658,13,0,99.8,2.4,6,16,787.6094,787.6095,787.6097,787.6095,787.6100,787.6098,787.6098,787.6098,787.6095,787.6093,787.6097,787.6098,787.6096,9.281,9.324,9.323,9.326,9.325,9.325,9.324,9.327,9.324,9.322,9.323,9.325,9.329,3752,886793,1734106,1113602,2129855,1342212,894325,1813349,816197,1805165,2060979,1891853,1157375,,,,,,,,,,,,,,91.12,99.77,99.56,99.83,99.51,99.52,99.40,99.58,99.75,99.84,99.75,99.47,99.70,6,13,16,11,15,12,14,15,13,14,15,15,13,
PC 18:1_20:4,C46 H82 N O8 P,807.5783,0.44,0,7.48,0.056,1257399,13,0,99.8,2.3,5,20,807.5774,807.5783,807.5780,807.5784,807.5783,807.5782,807.5785,807.5784,807.5782,807.5784,807.5790,807.5782,807.5783,7.434,7.483,7.481,7.482,7.490,7.479,7.482,7.485,7.483,7.482,7.482,7.478,7.482,3836,1275197,1259639,1411363,2198719,1081169,1169513,1549248,1021080,1235992,1704077,1480575,955789,,,,,,,,,,,,,,91.46,99.69,99.80,99.62,99.49,99.66,99.49,99.54,99.73,99.74,98.91,99.79,99.79,5,17,18,17,18,18,19,19,17,20,20,17,17,
TG 18:1_18:1_18:1,C57 H104 O6,884.7836,0.29,0,14.34,0.013,1239061,13,0,99.9,2.4,13,22,884.7838,884.7831,884.7836,884.7836,884.7838,884.7832,884.7836,884.7834,884.7836,884.7836,884.7839,884.7835,884.7839,14.335,14.344,14.346,14.346,14.344,14.348,14.345,14.344,14.341,14.346,14.342,14.347,14.345,68550,1105305,1447394,1496523,2262562,948973,772747,1500916,724929,1602383,1842584,1027201,1307729,,,,,,,,,,,,,,91.07,99.89,99.86,99.89,99.84,99.71,99.86,99.80,99.71,99.79,99.55,99.56,99.68,13,18,17,19,22,21,17,20,18,19,18,21,20,
CE 22:6,C49 H76 O2,696.5851,0.42,0,13.28,0.038,1658530,13,0,99.8,8.3,4,18,696.5859,696.5850,696.5852,696.5849,696.5853,696.5851,696.5849,696.5852,696.5850,696.5847,696.5850,696.5853,696.5850,13.317,13.283,13.284,13.282,13.283,13.281,13.283,13.284,13.282,13.279,13.283,13.281,13.282,5057,1283011,1943599,1483209,2240381,1694362,1549943,2223927,1288863,1850601,2218309,2068815,1710815,,,,,,,,,,,,,,70.63,99.66,99.52,99.78,99.57,99.66,99.82,99.60,99.64,99.84,99.74,99.42,99.70,4,14,13,14,17,14,15,18,15,16,15,15,13,
TG 52:3,C55 H100 O6,856.7526,0.17,0,14.07,0.004,4811777,12,1,99.9,0.1,17,21,,856.7525,856.7526,856.7526,856.7524,856.7526,856.7524,856.7526,856.7527,856.7526,856.7528,856.7526,856.7529,,14.078,14.075,14.077,14.076,14.074,14.075,14.076,14.074,14.074,14.074,14.074,14.077,,4645507,5739660,6939327,11482752,3509599,3154720,4060173,1585063,4423963,6511884,2538651,3150036,,,,,,,,,,,,,,,99.83,99.72,99.86,99.84,99.76,99.87,99.77,99.62,99.79,99.54,99.64,99.48,,18,19,19,17,20,19,21,18,18,21,20,21,
PC 18:0_20:3,C46 H86 N O8 P,811.6095,0.64,0,8.79,0.016,895242,13,0,99.9,9.5,4,20,811.6080,811.6095,811.6092,811.6097,811.6099,811.6100,811.6096,811.6096,811.6093,811.6099,811.6098,811.6097,811.6096,8.808,8.794,8.793,8.793,8.795,8.794,8.794,8.794,8.794,8.792,8.793,8.795,8.793,9574,822980,1007631,945012,1485790,954026,786779,926108,765680,965659,1335241,996144,637529,,,,,,,,,,,,,,66.19,99.71,99.87,99.64,99.35,99.17,99.60,99.60,99.84,99.29,99.35,99.49,99.64,4,15,17,17,18,17,16,14,15,17,20,15,17,
TG 18:1_18:1_18:2,C57 H102 O6,882.7676,0.43,0,14.06,0.052,1263039,13,0,99.9,3.2,13,22,882.7666,882.7674,882.7674,882.7678,882.7678,882.7674,882.7671,882.7677,882.7677,882.7678,882.7678,882.7677,882.7681,14.111,14.061,14.060,14.061,14.059,14.063,14.061,14.060,14.062,14.061,14.060,14.063,14.060,5366,1132854,1478492,1519406,2658146,886065,816721,1518230,669512,1638496,1946513,894254,1255463,,,,,,,,,,,,,,88.42,99.77,99.72,99.76,99.85,99.89,99.88,99.88,99.79,99.83,99.89,99.67,99.63,13,17,19,19,18,21,19,20,15,20,19,19,22,
TG 52:4,C55 H98 O6,854.7370,0.47,0,13.61,0.028,4332455,13,0,99.9,2.9,13,19,854.7360,854.7368,854.7374,854.7369,854.7376,854.7370,854.7371,854.7369,854.7367,854.7370,854.7374,854.7371,854.7372,13.630,13.606,13.605,13.606,13.607,13.605,13.605,13.605,13.604,13.603,13.605,13.604,13.602,4891,4490506,5937945,6980142,11400919,4193693,3808565,3385551,1304666,4114101,5711007,2141406,2848532,,,,,,,,,,,,,,89.16,99.90,99.35,99.76,99.12,99.78,99.68,99.88,99.76,99.66,99.40,99.62,99.45,13,15,17,17,16,17,15,18,16,19,16,17,19,
PC 16:0_16:0,C40 H80 N O8 P,733.5627,0.28,0,8.37,0.007,868768,12,1,99.8,0.2,13,16,,733.5627,733.5627,733.5628,733.5627,733.5628,733.5625,733.5629,733.5624,733.5625,733.5627,733.5632,733.5626,,8.375,8.374,8.369,8.370,8.371,8.375,8.373,8.376,8.374,8.369,8.371,8.374,,695981,1419703,711167,1193905,743950,685106,1110011,823613,668144,883656,950108,539883,,,,,,,,,,,,,,,99.39,99.65,99.40,99.57,99.40,99.71,99.48,99.81,99.68,99.54,99.24,99.45,,14,15,13,16,15,15,16,14,15,13,13,13,
SM d42:2,C47 H93 N2 O6 P,812.6774,0.55,0,10.16,0.067,810648,13,0,99.8,11.9,6,19,812.6759,812.6777,812.6775,812.6775,812.6775,812.6774,812.6775,812.6776,812.6774,812.6772,812.6776,812.6775,812.6775,10.221,10.155,10.158,10.154,10.157,10.156,10.155,10.159,10.155,10.154,10.157,10.156,10.160,32413,597562,1162823,686930,1383017,902139,584819,1105467,607191,691466,1031524,971117,781963,,,,,,,,,,,,,,58.36,99.52,99.79,99.72,99.74,99.74,99.65,99.61,99.71,99.84,99.60,99.67,99.78,6,14,15,14,16,18,14,16,15,17,16,19,15,
TG 16:0_16:0_18:1,C53 H100 O6,832.7525,0.34,0,14.35,0.010,865820,13,0,99.9,1.5,13,18,832.7522,832.7522,832.7523,832.7527,832.7528,832.7521,832.7526,832.7522,832.7521,832.7524,832.7529,832.7526,832.7527,14.347,14.357,14.356,14.357,14.355,14.354,14.357,14.355,14.353,14.354,14.353,14.353,14.356,145152,721236,913197,1066583,1484990,589323,512050,1167541,685152,988433,1372759,820387,788866,,,,,,,,,,,,,,94.40,99.50,99.68,99.40,99.43,99.83,99.40,99.86,99.62,99.69,99.39,99.35,99.57,13,15,17,17,18,17,15,15,18,18,16,17,17,
PC 18:1_22:6,C48 H82 N O8 P,831.5781,0.37,0,7.20,0.007,770807,13,0,99.9,5.2,3,20,831.5773,831.5781,831.5779,831.5782,831.5784,831.5779,831.5782,831.5784,831.5783,831.5780,831.5783,831.5782,831.5778,7.200,7.198,7.202,7.203,7.205,7.200,7.203,7.200,7.199,7.203,7.204,7.205,7.202,2094,804901,791541,863641,1334217,705479,771834,926922,600399,744331,989856,850894,634393,,,,,,,,,,,,,,81.41,99.52,99.93,99.77,99.76,99.86,99.76,99.59,99.69,99.76,99.66,99.81,99.88,3,16,18,17,18,14,14,18,17,14,20,17,16,
PE 15:0_18:1(d7),C38 H67 D7 N O8 P,710.5600,2.83,0,8.16,0.029,44575,13,0,98.3,11.9,3,9,710.5665,710.5594,710.5595,710.5588,710.5595,710.5592,710.5594,710.5594,710.5594,710.5597,710.5590,710.5607,710.5591,8.163,8.158,8.151,8.163,8.159,8.159,8.157,8.166,8.169,8.162,8.141,8.153,8.162,33555,48311,47424,47103,46005,46168,48019,40515,42874,47579,47356,48601,35968,,,,,,,,,,,,,,56.03,93.08,98.26,97.79,94.62,96.90,95.25,93.24,91.35,95.36,96.24,92.98,92.29,3,9,7,7,7,8,9,6,9,8,8,8,7,
SM d34:1,C39 H79 N2 O6 P,702.5677,1.12,0,7.43,0.049,683772,13,0,99.9,6.2,5,19,702.5651,702.5678,702.5677,702.5681,702.5679,702.5679,702.5677,702.5680,702.5680,702.5677,702.5680,702.5679,702.5677,7.478,7.433,7.434,7.432,7.430,7.434,7.432,7.429,7.433,7.431,7.432,7.433,7.437,3296,515448,1066572,628181,995350,813060,558969,891118,536572,627423,802356,809522,641179,,,,,,,,,,,,,,77.77,99.77,99.88,99.70,99.70,99.95,99.80,99.49,99.28,99.78,99.61,99.73,99.77,5,18,16,17,16,17,15,19,14,15,16,15,15,
LPC 18:1/0:0,C26 H52 N O7 P,521.3483,1.62,0,2.66,0.007,565569,13,0,99.8,9.8,2,12,521.3456,521.3485,521.3485,521.3486,521.3487,521.3487,521.3484,521.3485,521.3485,521.3482,521.3489,521.3486,521.3485,2.662,2.656,2.657,2.656,2.655,2.655,2.657,2.659,2.657,2.656,2.659,2.658,2.657,2322,446554,543814,566280,1335328,526402,467447,746568,316909,551854,768187,673898,406838,,,,,,,,,,,,,,65.44,99.61,99.59,99.45,99.73,99.35,99.82,99.66,99.70,99.52,98.87,99.73,99.63,2,10,11,9,12,10,11,11,10,12,10,11,10,
SM d40:1,C45 H91 N2 O6 P,786.6619,0.16,0,10.26,0.010,709531,12,1,99.8,0.1,13,17,,786.6620,786.6618,786.6619,786.6618,786.6620,786.6617,786.6619,786.6621,786.6617,786.6621,786.6620,786.6618,,10.255,10.260,10.260,10.251,10.257,10.262,10.259,10.255,10.254,10.255,10.251,10.255,,374643,832501,555022,917674,745127,528908,879355,353824,777969,999373,880818,669162,,,,,,,,,,,,,,,99.45,99.84,99.58,99.71,99.65,99.60,99.67,99.45,99.80,99.61,99.61,99.82,,13,16,13,13,14,15,15,14,13,16,15,17,
TG 16:0_18:2_22:6,C59 H98 O6,902.7365,0.38,0,13.17,0.007,1223365,12,1,99.7,0.6,15,18,,902.7362,902.7364,902.7365,902.7365,902.7372,902.7366,902.7361,902.7367,902.7362,902.7365,902.7362,902.7371,,13.172,13.172,13.171,13.172,13.170,13.174,13.172,13.168,13.171,13.170,13.170,13.167,,1105119,1422727,1501554,3058160,1673151,975202,859784,301515,1155130,1312815,598147,717079,,,,,,,,,,,,,,,99.28,99.52,99.23,99.34,99.11,99.70,98.43,98.23,98.69,98.25,98.09,98.42,,16,17,15,16,17,16,17,16,18,17,17,18,
